Date,Price,Pct_Change
2023-05-16,273.44000244140625,-3.2070787818030966
2023-05-17,290.57000732421875,6.264630167447138
2023-05-18,287.5799865722656,-1.0290190579156588
2023-05-19,288.2799987792969,0.24341478535236938
2023-05-22,294.1199951171875,2.0258069802344014
2023-05-23,289.3299865722656,-1.6285899035913487
2023-05-24,284.42999267578125,-1.6935658673113418
2023-05-25,280.989990234375,-1.2094373061871444
2023-05-26,285.1000061035156,1.462691203239097
2023-05-30,299.2699890136719,4.970179798947938
2023-05-31,301.6300048828125,0.7885908897576899
2023-06-01,299.94000244140625,-0.560289896246513
2023-06-02,302.1300048828125,0.7301468372275854
2023-06-05,276.3599853515625,-8.529447295790915
2023-06-06,298.82000732421875,8.127089000994282
2023-06-07,290.8099975585937,-2.6805466733471506
2023-06-08,290.92999267578125,0.04126237687662737
2023-06-09,282.3299865722656,-2.956039707153757
2023-06-12,277.70001220703125,-1.6399159088435256
2023-06-13,283.82000732421875,2.203815213599958
2023-06-14,282.8800048828125,-0.3311966799903754
2023-06-15,277.9200134277344,-1.753390614205086
2023-06-16,293.3900146484375,5.566350199074699
2023-06-20,313.3999938964844,6.820265942596704
2023-06-21,331.3099975585937,5.7147428241574705
2023-06-22,327.2300109863281,-1.23147100972828
2023-06-23,329.1099853515625,0.574511597994265
2023-06-26,305.739990234375,-7.10096811320482
2023-06-27,324.8800048828125,6.260226093997412
2023-06-28,325.6099853515625,0.22469233494788465
2023-06-29,340.260009765625,4.499255266463886
2023-06-30,342.4200134277344,0.6348097337671943
2023-07-03,377.8399963378906,10.344016564800306
2023-07-05,378.1099853515625,0.07145591157333708
2023-07-06,376.5499877929688,-0.4125777205125192
2023-07-07,380.739990234375,1.1127347170994728
2023-07-10,407.7099914550781,7.083574594856978
2023-07-11,412.2999877929688,1.1257993265039845
2023-07-12,413.489990234375,0.2886253884644141
2023-07-13,461.8299865722656,11.690729516932308
2023-07-14,458.8599853515625,-0.6430940621129144
2023-07-17,449.8800048828125,-1.957019734869636
2023-07-18,445.7999877929688,-0.9069122978485056
2023-07-19,453.1000061035156,1.6375097600803468
2023-07-20,440.8299865722656,-2.7080157505993907
2023-07-21,436.6499938964844,-0.9482096960516162
2023-07-24,430.9400024414063,-1.307681560721996
2023-07-25,436.8200073242188,1.3644602147631968
2023-07-26,443.4599914550781,1.5200732611890144
2023-07-27,426.1499938964844,-3.9033955468668724
2023-07-28,434.6099853515625,1.9852144963618423
2023-07-31,437.8800048828125,0.7524032216160048
2023-08-01,434.9800109863281,-0.6622805024542044
2023-08-02,407.3299865722656,-6.356619549336385
2023-08-03,389.9100036621094,-4.276626687062168
2023-08-04,376.9700012207031,-3.3187151701344564
2023-08-07,370.8200073242188,-1.6314279323472514
2023-08-08,389.4800109863281,5.032091929655325
2023-08-09,377.8399963378906,-2.9886038615845933
2023-08-10,378.010009765625,0.04499614370689908
2023-08-11,384.30999755859375,1.6666193037784716
2023-08-14,388.8299865722656,1.1761309990335977
2023-08-15,376.1499938964844,-3.261063475983894
2023-08-16,369.6700134277344,-1.7227118367395988
2023-08-17,346.7900085449219,-6.189305069853934
2023-08-18,328.6199951171875,-5.239485850233394
2023-08-21,335.25,2.0175293595413146
2023-08-22,329.510009765625,-1.712152195190153
2023-08-23,346.3999938964844,5.1257878760262665
2023-08-24,336.5599975585937,-2.8406456441310457
2023-08-25,336.04998779296875,-0.15153606171991463
2023-08-28,344.3699951171875,2.475824319727238
2023-08-29,381.5199890136719,10.78781381166567
2023-08-30,371.6799926757813,-2.579156170382979
2023-08-31,357.5299987792969,-3.8070367454046794
2023-09-01,351.4800109863281,-1.6921622838992567
2023-09-05,349.25,-0.6344631036257931
2023-09-06,350.70001220703125,0.41517887101825135
2023-09-07,353.07000732421875,0.6757898587663513
2023-09-08,356.2799987792969,0.9091657145860133
2023-09-11,342.67999267578125,-3.817224135542996
2023-09-12,347.760009765625,1.482437608970688
2023-09-13,341.8399963378906,-1.7023272548572277
2023-09-14,346.3999938964844,1.3339567070690173
2023-09-15,340.7799987792969,-1.6224004665736036
2023-09-18,340.6199951171875,-0.046952186948334695
2023-09-19,339.260009765625,-0.39926762111971437
2023-09-20,333.4700012207031,-1.7066581318917806
2023-09-21,326.0599975585937,-2.2220900335815252
2023-09-22,322.8099975585937,-0.996749072052594
2023-09-25,327.6000061035156,1.4838476444808624
2023-09-26,317.29998779296875,-3.144083674800746
2023-09-27,315.6300048828125,-0.5263104237009597
2023-09-28,328.9200134277344,4.210629008435429
2023-09-29,328.2799987792969,-0.19458063429093064
2023-10-02,329.489990234375,0.3685851893436842
2023-10-03,311.3299865722656,-5.511549424973938
2023-10-04,320.3999938964844,2.9133099012013774
2023-10-05,323.4200134277344,0.9425778991199785
2023-10-06,340.6300048828125,5.321251233861424
2023-10-09,340.45001220703125,-0.05284111006109704
2023-10-10,340.4599914550781,0.0029311933291475967
2023-10-11,334.6099853515625,-1.7182653616695243
2023-10-12,323.6000061035156,-3.2903917187286247
2023-10-13,318.2200012207031,-1.6625478310687947
2023-10-16,325.79998779296875,2.381995645524637
2023-10-17,335.4100036621094,2.949667350892393
2023-10-18,329.1400146484375,-1.8693506291446949
2023-10-19,342.3500061035156,4.013486925674492
2023-10-20,348.0400085449219,1.662042453618584
2023-10-23,377.489990234375,8.461665603496836
2023-10-24,424.8699951171875,12.551327481132768
2023-10-25,433.2200012207031,1.9653084942401033
2023-10-26,413.4500122070313,-4.563498674568356
2023-10-27,406.760009765625,-1.6180922103967266
2023-10-30,420.2200012207031,3.309074425195768
