timestamp,Price,Pct_Change
2023-05-16,27227.793422558792,1.174161845097066
2023-05-17,27022.713173921147,-0.7532018678668706
2023-05-18,27389.971511442203,1.3590727739192676
2023-05-19,26842.95249471792,-1.9971507326897564
2023-05-20,26884.371059589947,0.15429958712691594
2023-05-21,27093.79110149735,0.7789657472113465
2023-05-22,26773.83024366478,-1.1809379375294915
2023-05-23,26869.686021790774,0.35802041491121983
2023-05-24,27222.937746603853,1.3146849744600564
2023-05-25,26338.948946998687,-3.2472204426777784
2023-05-26,26475.607902534277,0.5188474141871957
2023-05-27,26717.987553571777,0.9154828547460747
2023-05-28,26848.23993959246,0.4875082217907112
2023-05-29,28110.313467609285,4.7007682099699855
2023-05-30,27759.74666392068,-1.24711097260638
2023-05-31,27713.908547529507,-0.16512440457804312
2023-06-01,27245.474465179723,-1.690249073119432
2023-06-02,26824.10149951678,-1.5465796574820834
2023-06-03,27247.74008145703,1.5793206790090553
2023-06-04,27066.371328526235,-0.6656286076885398
2023-06-05,27315.447587487684,0.920242525081072
2023-06-06,25792.6160902334,-5.574982772575332
2023-06-07,27216.61556469773,5.520957895401457
2023-06-08,26346.244545137637,-3.197939940368777
2023-06-09,26507.90989220298,0.6136181829951903
2023-06-10,26469.581684007026,-0.1445915892721139
2023-06-11,25858.12289218562,-2.310043275790985
2023-06-12,25916.57989637981,0.22606824338304854
2023-06-13,25910.362742919464,-0.023989096883947347
2023-06-14,25872.20645879509,-0.14726263967415054
2023-06-15,25107.754695880594,-2.954721948945438
2023-06-16,25564.599632887144,1.8195372009170763
2023-06-17,26327.3256694539,2.9835242777890514
2023-06-18,26501.044442233677,0.6598420780023595
2023-06-19,26333.092529664373,-0.6337558239842278
2023-06-20,26779.38746152284,1.6948063785357403
2023-06-21,28330.891419807507,5.793649912694598
2023-06-22,30101.76481948869,6.250680126651709
2023-06-23,29935.63210674956,-0.5519035635796699
2023-06-24,30629.24435333575,2.317012195075052
2023-06-25,30537.816664634796,-0.29849802249855006
2023-06-26,30454.75697441562,-0.27198961579779635
2023-06-27,30285.50506407074,-0.5557486815181756
2023-06-28,30693.54635606798,1.3473154604290105
2023-06-29,30083.477245263824,-1.9876136296760771
2023-06-30,30466.61045689353,1.2735669101882952
2023-07-01,30480.781481944465,0.04651329714207009
2023-07-02,30583.619599697537,0.3373867491356375
2023-07-03,30571.887072871446,-0.0383621264574141
2023-07-04,31134.713133508405,1.8409922138447055
2023-07-05,30775.624022375305,-1.1533400342996436
2023-07-06,30484.79377442352,-0.9450019526503706
2023-07-07,29990.055151220247,-1.6229029688183627
2023-07-08,30315.26540235163,1.084393641464021
2023-07-09,30264.19734525722,-0.1684565726759124
2023-07-10,30169.87065747925,-0.3116774804957867
2023-07-11,30394.28114637557,0.7438231719455235
2023-07-12,30620.81424697801,0.7453148818078015
2023-07-13,30407.41631435991,-0.6969048272096767
2023-07-14,31446.0149710716,3.4156096853951157
2023-07-15,30311.82780813052,-3.6067754975772304
2023-07-16,30297.97140012553,-0.04571287516114131
2023-07-17,30237.334785146097,-0.20013424060193463
2023-07-18,30147.860079211525,-0.2959080440466777
2023-07-19,29848.03227250528,-0.9945243407607274
2023-07-20,29919.87483825516,0.2406944789324017
2023-07-21,29787.041530355687,-0.4439634477669485
2023-07-22,29914.68272835899,0.4285125055914829
2023-07-23,29710.155935991766,-0.6837003561910748
2023-07-24,30057.956718714588,1.1706461032117366
2023-07-25,29184.901913057693,-2.9045713713245047
2023-07-26,29222.974630383527,0.13045347021982678
2023-07-27,29363.672907978616,0.4814645989145827
2023-07-28,29200.244001291318,-0.5565683393881304
2023-07-29,29314.09738709836,0.3899055973710652
2023-07-30,29356.74774591667,0.14549436148452166
2023-07-31,29277.75581027272,-0.2690759082975669
2023-08-01,29233.13636558044,-0.15240049470124362
2023-08-02,29537.109746927432,1.0398247302157104
2023-08-03,29146.63627084363,-1.3219759124347585
2023-08-04,29176.15059658541,0.10126151596883126
2023-08-05,29087.938086007627,-0.3023445820440229
2023-08-06,29046.8004570232,-0.14142504313228166
2023-08-07,29044.20437557756,-0.008937581436829767
2023-08-08,29178.147751873083,0.4611707539427412
2023-08-09,29779.56167125089,2.06117922389093
2023-08-10,29585.48807737921,-0.6517006395666214
2023-08-11,29423.81891597763,-0.5464475048670536
2023-08-12,29396.8479714205,-0.09166364377836134
2023-08-13,29412.142274584105,0.05202701724509318
2023-08-14,29284.96971374381,-0.4323811562348845
2023-08-15,29400.58680419105,0.39480010250099173
2023-08-16,29170.490397060614,-0.78262521990764
2023-08-17,28754.197021112574,-1.427104482240682
2023-08-18,26501.58726991974,-7.8340207154415475
2023-08-19,26042.838256849,-1.7310246680636854
2023-08-20,26104.778630797897,0.23784033574991703
2023-08-21,26160.70041981821,0.21422050656403346
2023-08-22,26119.005958595222,-0.15937822976407334
2023-08-23,26033.675406585844,-0.3266990793778568
2023-08-24,26450.00862461353,1.599210297914233
2023-08-25,26134.934254516003,-1.191207059964161
2023-08-26,26044.036209289134,-0.3478028463422045
2023-08-27,26002.01571731937,-0.16134400840210894
2023-08-28,26082.717178218525,0.3103661722864137
2023-08-29,26109.2698239287,0.10180168549442925
2023-08-30,27730.50373550554,6.2094188099086844
2023-08-31,27297.261438480404,-1.5623311468028644
2023-09-01,25927.417005779287,-5.01824857335349
2023-09-02,25812.33049442542,-0.44387958633987923
2023-09-03,25853.65684277757,0.16010312730605492
2023-09-04,25959.59631146345,0.4097658962912698
2023-09-05,25829.364772941324,-0.5016701221375208
2023-09-06,25784.41351983038,-0.17403158577881106
